sku,titulo,descricao,marca,categoria,preco,preco_clube,preco_original,preco_assinante,avaliacao,total_avaliacoes,em_estoque,url,imagens_todas
2492303,Ração Nutrilus Pro+ Frango & Carne para Cães Adultos - 20Kg,"Nutrilus Pro+ Cães Adultos é uma ração premium especial, desenvolvida por
médicos veterinários, com ingredientes selecionados, sem corantes e sem
aromatizantes artificiais, garantindo uma alimentação balanceada mais saborosa e
nutritiva. Mais sabor, mais proteína e mais nutrição.


Garantia de Satisfação: Nutrilus acredita que a satisfação é um comprometimento
com a vida do pet, e garantimos você e seu pet satisfeitos ou seu dinheiro de
volta..*


- Proteínas de alta qualidade: favorece o ótimo aproveitamento dos nutrientes
para a manutenção da musculatura e condição corporal ideal;

- Intestino saudável: com fibras que favorecem uma função intestinal
regular;

- Redução do odor das fezes: com extrato de yucca, ideal para ambientes
internos;

- Pelagem macia e brilhante: aporte equilibrado de ácidos graxos essenciais,
ômegas 3 e 6, vitaminas e minerais;

- Defesa do organismo: enriquecido com DHA que contribui para a redução de
inflamações e saúde do coração.


- Sabor: Frango & Carne

- Embalagem: disponível nas versões de 15kg e 20kg

- Tamanho médio do grão: 13,5mm

- Indicado para: cães adultos de raças médias e grandes",Nutrilus,cachorro/racoes/racao-seca,217.9,174.32,196.11,196.11,4.66,1135,True,https://www.petlove.com.br/racao-seca-nutrilus-pro-frango-carne-para-caes-adultos/p?sku=2492303,https://www.petlove.com.br/images/products/395654/hd_large/TRATADAS_0201_01_7898349702890.png?1771428425 | https://www.petlove.com.br/images/products/395653/hd_large/TRATADAS_0025_02_7898349702890.png?1771428413 | https://www.petlove.com.br/images/products/395652/hd_large/TRATADAS_0115_04_7898349702890.png?1771428403 | https://www.petlove.com.br/images/products/395651/hd_large/TRATADAS_0065_03_7898349702890.png?1771428393 | https://www.petlove.com.br/images/products/395655/hd_large/TRATADAS_0149_05_7898349702890.png?1771428436
31027535567,Ração Suprema Sabor Carne para Cães Adultos - 20Kg,<p>D&ecirc; ao seu melhor amigo a nutri&ccedil;&atilde;o completa e balanceada que ele merece. A ra&ccedil;&atilde;o seca Suprema sabor carne para c&atilde;es adultos - 20 Kg &eacute; a escolha ideal para quem procura qualidade e cuidado integral para seu pet. Zelamos pelo bem-estar e satisfa&ccedil;&atilde;o do seu c&atilde;o.</p><p>- Ra&ccedil;&atilde;o Premium para c&atilde;es adultos de qualquer porte;<br />- Sabor carne com gr&atilde;os m&eacute;dios;<br />- Excelente digestibilidade e palatabilidade;<br />- Alto teor de prote&iacute;na de qualidade;<br />- Enriquecida com vitaminas e minerais;<br />- Livre de corantes;<br />- Promove pele e pelagem saud&aacute;veis;<br />- Redu&ccedil;&atilde;o do odor das fezes;<br />- Pacote de 20 kg;</p>,Suprema,cachorro/racoes/racao-seca,179.9,134.93,143.92,143.92,4.46,269,True,https://www.petlove.com.br/racao-seca-suprema-sabor-carne-para-caes-adultos/p?sku=31027535567,https://www.petlove.com.br/images/products/283461/hd_large/31027535567.jpg?1771130944 | https://www.petlove.com.br/images/products/283462/hd_large/31027535567_1.jpg?1771130946 | https://www.petlove.com.br/images/products/283702/hd_large/TRATADA_0005_03._Benef%C3%ADcios_de_produto_SUPREMA_RA%C3%87%C3%83O_C%C3%83ES_20_kg.jpg?1771131191 | https://www.petlove.com.br/images/products/283700/hd_large/TRATADA_0004_04._Tamanho_do_gr%C3%A3o_SUPREMA_RA%C3%87%C3%83O_C%C3%83ES_20_kg.jpg?1771131187 | https://www.petlove.com.br/images/products/283701/hd_large/TRATADA_0003_05._Sem_corantes_SUPREMA_RA%C3%87%C3%83O_C%C3%83ES_20_kg.jpg?1771131190 | https://www.petlove.com.br/images/products/283699/hd_large/TRATADA_0002_06._Transi%C3%A7%C3%A3o_da_ra%C3%A7%C3%A3o_SUPREMA_RA%C3%87%C3%83O_C%C3%83ES_20_kg.jpg?1771131187 | https://www.petlove.com.br/images/products/283698/hd_large/TRATADA_0001_07._Recomenda%C3%A7%C3%A3o_Di%C3%A1ria_SUPREMA_RA%C3%87%C3%83O_C%C3%83ES_20_kg.jpg?1771131186 | https://www.petlove.com.br/images/products/283697/hd_large/TRATADA_0000_08._Portf%C3%B3lio_Suprema_SUPREMA_RA%C3%87%C3%83O_C%C3%83ES_20_kg.jpg?1771131186
2616989,Ração Seca Nutrilus Pro+ Frango & Carne para Cães Adultos de Raças Pequenas - 15Kg,"Nutrilus Pro+ Cães RaçasPequenas é uma ração premium especial, desenvolvida por médicos veterinários,  com ingredientes selecionados, sem corantes e sem aromatizantes artificiais, garantindo uma alimentação balanceada mais saborosa e nutritiva. Mais sabor, mais proteína e mais nutrição. <br><br>

Garantia de Satisfação: Nutrilus acredita que a satisfação é um comprometimento com a vida do pet, e garantimos você e seu pet satisfeitos ou seu dinheiro de volta.<br><br>

- Proteínas de alta qualidade: favorece o ótimo aproveitamento dos nutrientes para a manutenção da musculatura e condição corporal ideal;<br>
- Intestino saudável: com fibras que favorecem uma função intestinal regular;<br>
- Redução do odor das fezes: com extrato de yucca, ideal para ambientes interno;<br>
- Pelagem macia e brilhante: aporte equilibrado de ácidos graxos essenciais, ômegas 3 e 6, vitaminas e minerais;<br>
- Partícula adaptada: tamanho ideal para a correta preensão e mastigação;<br>
- Defesa do organismo: enriquecido com DHA que contribui para a redução de inflamações e saúde do coração.<br><br>

- Sabor: Frango & Carne<br>
- Embalagem: disponível na versão de 15kg<br>
- Tamanho médio do grão: 7,5mm<br>
- Indicado para: cães adultos de raças pequenas",Nutrilus,cachorro/racoes/racao-seca,171.9,137.52,154.71,154.71,4.8,356,True,https://www.petlove.com.br/racao-seca-nutrilus-pro-frango-carne-para-caes-adultos-de-racas-pequenas/p?sku=2616989,https://www.petlove.com.br/images/products/396349/hd_large/2616989_Ra%C3%A7%C3%A3o_Seca_Nutrilus_Pro__Frango___Carne_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_Pequenas_-_15Kg_01.png?1772827199 | https://www.petlove.com.br/images/products/396348/hd_large/2616989_Ra%C3%A7%C3%A3o_Seca_Nutrilus_Pro__Frango___Carne_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_Pequenas_-_15Kg_02.png?1772827177 | https://www.petlove.com.br/images/products/267520/hd_large/3.jpg?1771041784 | https://www.petlove.com.br/images/products/396350/hd_large/image_%284%29.png?1772827625 | https://www.petlove.com.br/images/products/395636/hd_large/TRATADAS_0075_03_7899973908733.png?1771427108 | https://www.petlove.com.br/images/products/395638/hd_large/TRATADAS_0168_05_7899973908733.png?1771427129
31027541644,Ração Suprema Sabor Carne para Cães Adultos de Raças Pequenas - 15Kg,"<p style=""text-align: justify;"">D&ecirc; ao seu melhor amigo a nutri&ccedil;&atilde;o completa e balanceada que ele merece.<br /> <br />A <strong>Ra&ccedil;&atilde;o Seca Suprema Sabor Carne para C&atilde;es Adultos de Ra&ccedil;as Pequenas</strong> &eacute; a escolha ideal para quem procura qualidade e cuidado integral para seu pet. Zelamos pelo bem-estar e satisfa&ccedil;&atilde;o do seu c&atilde;o.<br /><br />- Ra&ccedil;&atilde;o Premium para c&atilde;es adultos de pequeno porte;<br />- Sabor carne com gr&atilde;os pequenos;<br />- Excelente digestibilidade e palatabilidade;<br />- Alto teor de prote&iacute;na de qualidade;<br />- Enriquecida com vitaminas e minerais;<br />- Livre de corantes;<br />- Promove pele e pelagem saud&aacute;veis;<br />- Redu&ccedil;&atilde;o do odor das fezes;<br />- Pacote de 15 kg.</p>",Suprema,cachorro/racoes/racao-seca,134.9,101.18,107.92,107.92,4.69,51,True,https://www.petlove.com.br/racao-seca-suprema-sabor-carne-para-caes-adultos-de-racas-pequenas/p?sku=31027541644,https://www.petlove.com.br/images/products/292530/hd_large/01._31027541644_61977_.png?1771138614 | https://www.petlove.com.br/images/products/292528/hd_large/02._31027541644_61978_.png?1771138610 | https://www.petlove.com.br/images/products/292527/hd_large/03._31027541644_61980_.png?1771138610 | https://www.petlove.com.br/images/products/292529/hd_large/04._31027541644_61979_.png?1771138612 | https://www.petlove.com.br/images/products/292532/hd_large/05._31027541644_61981_.png?1771138616 | https://www.petlove.com.br/images/products/292526/hd_large/06._31027541644_61983_.png?1771138609 | https://www.petlove.com.br/images/products/292525/hd_large/07._31027541644_61984_.png?1771138608 | https://www.petlove.com.br/images/products/292531/hd_large/08._31027541644_61982_.png?1771138615
31027550321,"Ração Liva Natural Frango e Batata Doce Cães Adultos Raças Médias e Grandes - 10,1Kg","<p>- Desenvolvida por m&eacute;dicos veterin&aacute;rios especialistas;<br />- Feita com ingredientes naturais e de alta qualidade;<br />- Rica em vitaminas, minerais e probi&oacute;ticos;<br />- Com antioxidantes 100% naturais;<br />- Mix de vegetais e frutas (como batata-doce, blueberry e ma&ccedil;&atilde;);<br />- Suporte &agrave;s defesas naturais;<br />- Contribui para a sa&uacute;de intestinal e tem alta digestibilidade;<br />- Suporte &agrave; sa&uacute;de das articula&ccedil;&otilde;es;<br />- Contribui para o cuidado oral;<br />- Suporte &agrave; sa&uacute;de da pele e brilho da pelagem;<br />- Possui Garantia de Satisfa&ccedil;&atilde;o 100%.</p>
<p>&nbsp;</p>
<p>Venda exclusiva da Petlove</p>",Liva,cachorro/racoes/racao-natural,191.9,134.33,143.93,143.93,4.74,43,True,https://www.petlove.com.br/racao-seca-liva-natural-frango-e-batata-doce-para-caes-adultos-racas-medias-e-grandes/p?sku=31027550321,https://www.petlove.com.br/images/products/374021/hd_large/Novo_Projeto_%2869%29.jpg?1771744091 | https://www.petlove.com.br/images/products/374020/hd_large/Novo_Projeto_%2870%29.jpg?1771744090 | https://www.petlove.com.br/images/products/376301/hd_large/_0051_02_7899973922005.jpg?1771821079 | https://www.petlove.com.br/images/products/376302/hd_large/_0038_04_7899973922005.jpg?1771821079 | https://www.petlove.com.br/images/products/376303/hd_large/_0031_05_7899973922005.jpg?1771821079 | https://www.petlove.com.br/images/products/376304/hd_large/_0020_07_7899973922005.jpg?1771821081 | https://www.petlove.com.br/images/products/376305/hd_large/_0044_03_7899973922005.jpg?1771821085 | https://www.petlove.com.br/images/products/376306/hd_large/_0018_08_7899973922005.jpg?1771821085 | https://www.petlove.com.br/images/products/376307/hd_large/_0025_06_7899973922005.jpg?1771821085 | https://www.petlove.com.br/images/products/376308/hd_large/_0016_09_7899973922005.jpg?1771821086
31027550324,"Ração Liva Natural Frango e Batata Doce Cães Adultos Raças Pequenas - 10,1Kg","<p>- Desenvolvida por m&eacute;dicos veterin&aacute;rios especialistas;<br />- Feita com ingredientes naturais e de alta qualidade;<br />- Rica em vitaminas, minerais e probi&oacute;ticos;<br />- Com antioxidantes 100% naturais;<br />- Mix de vegetais e frutas (como batata-doce, blueberry e ma&ccedil;&atilde;);<br />- Suporte &agrave;s defesas naturais;<br />- Contribui para a sa&uacute;de intestinal e tem alta digestibilidade;<br />- Suporte &agrave; sa&uacute;de das articula&ccedil;&otilde;es;<br />- Contribui para o cuidado oral;<br />- Suporte &agrave; sa&uacute;de da pele e brilho da pelagem;<br />- Possui Garantia de Satisfa&ccedil;&atilde;o 100%.</p>
<p>&nbsp;</p>
<p>Venda exclusiva da Petlove</p>",Liva,cachorro/racoes/racao-natural,191.9,134.33,143.93,143.93,4.91,35,True,https://www.petlove.com.br/racao-seca-liva-natural-frango-e-batata-doce-para-caes-adultos-racas-pequenas/p?sku=31027550324,https://www.petlove.com.br/images/products/374024/hd_large/-31027550323-qo-e-2_0000_7899973918435_1.png?1771744093 | https://www.petlove.com.br/images/products/374022/hd_large/31027550323-verso.png?1771744092 | https://www.petlove.com.br/images/products/376311/hd_large/_0052_02_7899973918435.jpg?1771821091 | https://www.petlove.com.br/images/products/376312/hd_large/_0039_04_7899973918435.jpg?1771821091 | https://www.petlove.com.br/images/products/376313/hd_large/_0032_05_7899973918435.jpg?1771821092 | https://www.petlove.com.br/images/products/376314/hd_large/_0045_03_7899973918435.jpg?1771821092 | https://www.petlove.com.br/images/products/376315/hd_large/_0026_06_7899973918435.jpg?1771821094 | https://www.petlove.com.br/images/products/376316/hd_large/_0021_07_7899973918435.jpg?1771821097
31027518114,Ração Nutrilus Pro Carne para Cães Adultos - 20Kg,"Nutrilus Pro Cães Adultos é uma ração premium especial, desenvolvida por médicos veterinários,  com ingredientes selecionados, sem corantes e sem aromatizantes artificiais, garantindo uma alimentação balanceada e completa. Além disso, possui ótimo custo-beneficio.<br><br>
 
Garantia de Satisfação: Nutrilus acredita que a satisfação é um comprometimento com a vida do pet, e garantimos você e seu pet satisfeitos ou seu dinheiro de volta..<br><br>

- Redução do odor das fezes;<br>
- Intestino saudável: com fibras que favorecem uma função intestinal regular;<br>

- Proteínas de alta qualidade: favorece o ótimo aproveitamento dos nutrientes para a manutenção da musculatura e condição corporal ideal;<br>

- Mantém a pelagem macia e brilhante, composto com antioxidantes (BHA, BHT).<br><br>


- Sabor: Carne<br>

- Embalagem: disponível na versão de 15kg e 20kg <br>
- Tamanho médio do grão: 9mm<br>
- Indicado para: cães adultos",Nutrilus,cachorro/racoes/racao-seca,201.9,161.52,181.71,181.71,4.79,204,True,https://www.petlove.com.br/racao-seca-nutrilus-pro-carne-para-caes-adultos/p?sku=31027518114,https://www.petlove.com.br/images/products/395660/hd_large/TRATADAS_0213_01_7899973908726.png?1771434530 | https://www.petlove.com.br/images/products/395656/hd_large/TRATADAS_0031_02_7899973908726.png?1771434489 | https://www.petlove.com.br/images/products/264651/hd_large/Ra%C3%A7%C3%A3o_Seca_Nutrilus_Pro_Carne_para_C%C3%A3es_Adultos_31027518112.jpg?1770969086 | https://www.petlove.com.br/images/products/395657/hd_large/TRATADAS_0076_03_7899973908726.png?1771434490 | https://www.petlove.com.br/images/products/395658/hd_large/TRATADAS_0123_04_7899973908726.png?1771434509 | https://www.petlove.com.br/images/products/395659/hd_large/TRATADAS_0169_05_7899973908726.png?1771434510 | https://www.petlove.com.br/images/products/267820/hd_large/Ra%C3%A7%C3%A3o_Seca_Nutrilus_Pro_Carne_para_C%C3%A3es_Adultos_%281%29.jpg?1771042410 | https://www.petlove.com.br/images/products/267496/hd_large/31027518113.jpg?1770971373 | https://www.petlove.com.br/images/products/267497/hd_large/31027518113_%281%29.jpg?1770971373
2617011,Ração Nutrilus Pro+ Frango & Carne para Cães Sênior - 15Kg,"Nutrilus Pro Cães Seniors é uma ração premium especial, desenvolvida por médicos veterinários com ingredientes selecionados, sem corantes e sem aromatizantes artificiais, garantindo uma alimentação balanceada e um sabor irresistível, com o melhor custo-benefício.
<br><br>
- Proteínas de alta qualidade: favorece o ótimo aproveitamento dos nutrientes para a manutenção da musculatura e condição corporal ideal;<br>
- Intestino saudável: com fibras que favorecem uma função intestinal regular;<br>
- Saúde oral: com hexametafosfato de sódio;<br>
- Redução do odor das fezes: com extrato de yucca, ideal para ambientes internos;<br>
- Pelagem macia e brilhante: aporte equilibrado de ácidos graxos essenciais, ômegas 3 e 6, vitaminas e minerais;<br>
- Defesa do organismo: enriquecido com DHA que contribui para a redução de inflamações e saúde do coração;<br>
- Ossos e articulações saudáveis: com condroitina e glicosamina que contribuem para a saúde dos ossos e articulações.
<br><br>
- Sabor: Frango & Carne<br>
- Embalagem: disponível na versão de 15kg<br>
- Tamanho do grão: 13,5mm<br>
- Indicado para: cães adultos acima de 7 anos raças médias e grandes
<br><br>
- Garantia de Satisfação: Nutrilus garante você e seu pet satisfeitos - saiba mais abaixo nos detalhes.",Nutrilus,cachorro/racoes/racao-seca,181.9,145.52,163.71,163.71,4.77,162,True,https://www.petlove.com.br/racao-seca-nutrilus-pro-frango-carne-para-caes-senior/p?sku=2617011,https://www.petlove.com.br/images/products/395641/hd_large/TRATADAS_0205_01_7898349703040.png?1771427402 | https://www.petlove.com.br/images/products/395645/hd_large/TRATADAS_0024_02_7898349703040.png?1771427423 | https://www.petlove.com.br/images/products/395642/hd_large/TRATADAS_0064_03_7898349703040.png?1771427403 | https://www.petlove.com.br/images/products/395644/hd_large/TRATADAS_0114_04_7898349703040.png?1771427442 | https://www.petlove.com.br/images/products/395643/hd_large/TRATADAS_0148_05_7898349703040.png?1771427422 | https://www.petlove.com.br/images/products/250512/hd_large/2617011_FRENTE.jpg?1770884086 | https://www.petlove.com.br/images/products/250513/hd_large/2617011_VERSO.jpg?1770884086 | https://www.petlove.com.br/images/products/233808/hd_large/Gr%C3%A3o.PNG?1770790774 | https://www.petlove.com.br/images/products/233807/hd_large/Capturar.PNG?1770790773 | https://www.petlove.com.br/images/products/233809/hd_large/Ra%C3%A7%C3%A3o_Seca_Nutrilus_Pro_Frango___Carne_para_C%C3%A3es_Adultos_2492300_2_-_Copia_%282%29.jpg?1770790774 | https://www.petlove.com.br/images/products/233815/hd_large/Imagem3.png?1770790778
31027528603,"Ração Liva Super Premium para Cães Adultos de Raças Médias - 10,1Kg","A Liva é uma ração Super Premium que promove uma vida mais saudável para os nossos pets. Existimos para proporcionar nutrição e bem-estar para que eles vivam cada vez mais e melhor. 
<br><br>
- Ração Super Premium para cães adultos de porte médio;<br>
- Sabor Frango, Arroz, Cenoura e Espinafre;<br>
- Alimento rico em nutrientes e proteínas de alta qualidade;<br>
- Com ômega 3 e 6, Liva ajuda a manter a pele saudável e uma pelagem brilhante e macia;<br>
- A inclusão de fibras e prebióticos selecionados contribui para o bom funcionamento do intestino;<br> 
- Presença de aminoácidos essenciais que promovem a manutenção das funções vitais;<br>
- Com extrato de yucca, zeolita, fibras e prebióticos reduz o odor e volume das fezes;<br>
- Alimento rico em vitaminas e minerais que ajudam a fortalecer o sistema imunológico;<br>
<br>
- Este produto possui Satisfação Garantida. Saiba mais abaixo na descrição.",Liva,cachorro/racoes/racao-seca,162.9,122.18,130.32,130.32,4.74,58,True,https://www.petlove.com.br/racao-seca-liva-para-caes-adultos-de-racas-medias/p?sku=31027528603,https://www.petlove.com.br/images/products/273553/hd_large/31027528602_Ra%C3%A7%C3%A3o_Seca_Liva_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dia_%281%29.jpg?1771051571 | https://www.petlove.com.br/images/products/273524/hd_large/31027528602_Ra%C3%A7%C3%A3o_Seca_Liva_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dia_%282%29.jpg?1771051528 | https://www.petlove.com.br/images/products/273527/hd_large/31027528602_Ra%C3%A7%C3%A3o_Seca_Liva_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dia_%283%29.jpg?1771051534 | https://www.petlove.com.br/images/products/273529/hd_large/31027528602_Ra%C3%A7%C3%A3o_Seca_Liva_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dia_%284%29.jpg?1771051537 | https://www.petlove.com.br/images/products/273526/hd_large/31027528602_Ra%C3%A7%C3%A3o_Seca_Liva_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dia_%285%29.jpg?1771051530 | https://www.petlove.com.br/images/products/273523/hd_large/31027528602_Ra%C3%A7%C3%A3o_Seca_Liva_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dia_%286%29.jpg?1771051528 | https://www.petlove.com.br/images/products/273528/hd_large/31027528602_Ra%C3%A7%C3%A3o_Seca_Liva_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dia_%287%29.jpg?1771051535 | https://www.petlove.com.br/images/products/273522/hd_large/31027528602_Ra%C3%A7%C3%A3o_Seca_Liva_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dia_%288%29.jpg?1771051524 | https://www.petlove.com.br/images/products/273530/hd_large/31027528602_Ra%C3%A7%C3%A3o_Seca_Liva_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dia_%289%29.jpg?1771051541
31021721-3,Ração Seca PremieR Pet Golden Formula Cães Adultos Frango e Arroz Mini Bits - 15Kg,"- Saúde oral: auxilia na redução da formação da placa bacteriana (tártaro);<br>
- Promove a pele nutrida e pelagem sedosa: equilíbrio de ômegas e minerais;<br>
- Intestino saudável: combinação de nutrientes de alta digestibilidade e fibras;<br>
- Redução do odor das fezes: seleção de ingredientes especiais que auxiliam na redução do odor das fezes.<br>
<br><br> - Este produto possui Satisfação Garantida. Saiba mais abaixo na descrição.",GoldeN,cachorro/racoes/racao-seca,174.9,148.67,174.9,157.41,4.8,877,True,https://www.petlove.com.br/racao-premier-golden-formula-caes-adultos-frango-e-arroz-mini-bits/p?sku=31021721-3,https://www.petlove.com.br/images/products/265990/hd_large/Ra%C3%A7%C3%A3o_Seca_PremieR_Pet_Golden_Formula_C%C3%A3es_Adultos_Frango_e_Arroz_Mini_Bits_-_15_Kg_31021721-3_1.jpg?1770970110 | https://www.petlove.com.br/images/products/265989/hd_large/Ra%C3%A7%C3%A3o_Seca_PremieR_Pet_Golden_Formula_C%C3%A3es_Adultos_Frango_e_Arroz_Mini_Bits_-_15_Kg_31021721-3_2.jpg?1770970110
